Timestamp,Section,How many people live in your home?,The average income of the family as a whole,What aspects of studying do you think have the biggest impact on your ability to focus? (What pastimes do you enjoy?),How frequent?,"In a week, how much homework do you typically have?",How many hours a day do you spend studying?,"On weekdays, how many hours do you sleep?"
12/29/2023 20:07:00,BSIT - 2C,6,10k - 20k,Playing online games,3-4hrs,3-4,1-2hrs,6-7hrs
1/1/2024 1:51:43,BSIT - 2C,12,10k - 20k,scrolling through social media,1-2hrs,1-2,2-3hrs,4-5hrs
1/1/2024 2:50:48,BSIT - 2C,5,5k - 10k,Relationship,3-4hrs,3-4,4-5hrs,6-7hrs
1/1/2024 19:48:00,BSIT - 2C,5,5k - 10k,Sports,3-4hrs,1-2,1-2hrs,6-7hrs
1/1/2024 21:28:39,BSIT - 2C,4,5k - 10k,Relationship,3-4hrs,3-4,2-3hrs,4-5hrs
1/3/2024 18:22:49,BSIT - 2C,7,30k - 50k,Playing online games,1-2hrs,0,4-5hrs,4-5hrs
1/3/2024 18:28:33,BSIT - 2C,5,10k - 20k,Playing online games,5-6hrs,3-4,2-3hrs,4-5hrs
1/3/2024 18:28:53,BSIT - 2A,1,30k - 50k,Playing online games,3-4hrs,3-4,1-2hrs,6-7hrs
1/3/2024 18:29:14,BSIT - 2B,6,20k - 30k,Playing online games,3-4hrs,3-4,2-3hrs,2-3hrs
1/3/2024 18:29:53,BSIT - 2A,7,20k - 30k,Sports,1-2hrs,3-4,2-3hrs,4-5hrs
1/3/2024 18:30:27,BSIT - 2D,4,10k - 20k,Playing online games,1-2hrs,3-4,2-3hrs,6-7hrs
1/3/2024 18:30:59,BSIT - 2E,7,30k - 50k,Work,5-6hrs,3-4,2-3hrs,2-3hrs
1/3/2024 18:31:02,BSIT - 2B,5,20k - 30k,Sports,3-4hrs,1-2,1-2hrs,6-7hrs
1/3/2024 18:33:25,BSIT - 2C,6,10k - 20k,Sports,1-2hrs,3-4,4-5hrs,4-5hrs
1/3/2024 18:34:13,BSIT - 2A,8,20k - 30k,Playing online games,1-2hrs,1-2,2-3hrs,6-7hrs
1/3/2024 18:42:27,BSIT - 2A,4,Less than 5k,Doing nothing ,All day,5-6,4-5hrs,4-5hrs
1/3/2024 18:43:52,BSIT - 2E,8,20k - 30k,Sports,5-6hrs,3-4,2-3hrs,4-5hrs
1/3/2024 18:44:27,BSIT - 2D,3,30k - 50k,Playing online games,5-6hrs,3-4,4-5hrs,4-5hrs
1/3/2024 18:44:57,BSIT - 2D,7,20k - 30k,Relationship,5-6hrs,3-4,2-3hrs,6-7hrs
1/3/2024 18:45:23,BSIT - 2B,1,10k - 20k,Work,5-6hrs,3-4,4-5hrs,4-5hrs
1/3/2024 18:45:31,BSIT - 2E,4,10k - 20k,Relationship,1-2hrs,1-2,2-3hrs,6-7hrs
1/3/2024 18:45:56,BSIT - 2A,5,30k - 50k,Sports,3-4hrs,3-4,2-3hrs,6-7hrs
1/3/2024 18:46:12,BSIT - 2C,4,5k - 10k,Playing online games,3-4hrs,3-4,2-3hrs,8hrs
1/3/2024 18:46:38,BSIT - 2D,6,20k - 30k,Work,5-6hrs,5-6,1-2hrs,4-5hrs
1/3/2024 18:46:42,BSIT - 2C,4,20k - 30k,Sports,1-2hrs,3-4,4-5hrs,6-7hrs
1/3/2024 18:47:06,BSIT - 2C,9,30k - 50k,Playing online games,5-6hrs,5-6,4-5hrs,8hrs
1/3/2024 18:47:27,BSIT - 2C,6,20k - 30k,Playing online games,5-6hrs,5-6,4-5hrs,2-3hrs
1/3/2024 18:47:42,BSIT - 2C,4,30k - 50k,Work,5-6hrs,3-4,2-3hrs,6-7hrs
1/3/2024 18:47:47,BSIT - 2C,2,5k - 10k,Playing online games,3-4hrs,1-2,1-2hrs,4-5hrs
1/3/2024 18:48:03,BSIT - 2C,6,10k - 20k,Sports,5-6hrs,5-6,1-2hrs,2-3hrs
1/3/2024 18:48:18,BSIT - 2C,6,20k - 30k,Relationship,1-2hrs,3-4,4-5hrs,8hrs
1/3/2024 18:48:22,BSIT - 2C,4,10k - 20k,Playing online games,3-4hrs,1-2,1-2hrs,2-3hrs
1/3/2024 18:48:45,BSIT - 2C,3,20k - 30k,Playing online games,5-6hrs,3-4,2-3hrs,4-5hrs
1/3/2024 18:49:03,BSIT - 2C,7,30k - 50k,Playing online games,3-4hrs,5-6,1-2hrs,2-3hrs
1/3/2024 18:49:27,BSIT - 2C,6,5k - 10k,Sports,3-4hrs,3-4,1-2hrs,2-3hrs
1/3/2024 18:50:31,BSIT - 2B,4,20k - 30k,Work,3-4hrs,1-2,2-3hrs,6-7hrs
1/3/2024 18:51:45,BSIT - 2C,2,10k - 20k,k-drama,3-4hrs,1-2,1-2hrs,6-7hrs
1/3/2024 20:02:02,BSIT - 2E,6,5k - 10k,Watching films/series,5-6hrs,3-4,4-5hrs,4-5hrs
1/3/2024 20:04:07,BSIT - 2E,5,5k - 10k,Work,5-6hrs,3-4,1-2hrs,6-7hrs
1/3/2024 21:38:30,BSIT - 2C,4,5k - 10k,Sports,1-2hrs,3-4,4-5hrs,4-5hrs
